radio_id,hogares_con_nbi,hogares_sin_nbi,hogares_nbi_hac,hogares_nbi_viv,hogares_nbi_san,hogares_nbi_esc,hogares_nbi_sub,hogares_totales,prop_con_nbi
63571808,2,265,1,1,0,0,0,267,0.00749063670411985
63571809,3,289,1,2,0,0,0,292,0.010273972602739725
63571810,0,160,0,0,0,0,0,160,0.0
63571811,3,132,0,2,1,0,0,135,0.022222222222222223
63571812,0,169,0,0,0,0,0,169,0.0
63571813,3,172,0,3,0,0,0,175,0.017142857142857144
63571814,2,164,0,1,0,1,0,166,0.012048192771084338
63571815,3,117,1,1,0,1,0,120,0.025
63571901,24,322,3,23,0,0,0,346,0.06936416184971098
63571902,4,232,1,2,0,1,1,236,0.01694915254237288
63571903,3,225,1,2,0,0,0,228,0.013157894736842105
63571904,2,234,1,1,0,0,0,236,0.00847457627118644
63571905,1,201,0,1,0,0,0,202,0.0049504950495049506
63571906,7,168,0,7,0,0,0,175,0.04
63571907,4,320,0,3,0,1,0,324,0.012345679012345678
63571908,3,153,1,2,0,0,0,156,0.019230769230769232
63571909,1,147,1,0,0,0,0,148,0.006756756756756757
63571910,1,168,0,1,0,0,0,169,0.005917159763313609
63571911,2,124,0,2,0,0,0,126,0.015873015873015872
63571912,0,139,0,0,0,0,0,139,0.0
63571913,0,131,0,0,0,0,0,131,0.0
63572001,4,271,2,3,0,0,0,275,0.014545454545454545
63572002,4,416,3,0,0,1,0,420,0.009523809523809525
63572003,1,218,1,0,0,0,0,219,0.0045662100456621
63572004,1,191,1,0,0,0,0,192,0.005208333333333333
63572005,4,130,0,3,0,1,0,134,0.029850746268656716
63572006,3,153,1,2,0,0,0,156,0.019230769230769232
63572007,10,237,1,6,1,3,0,247,0.04048582995951417
63572008,1,52,1,0,0,1,0,53,0.018867924528301886
63572009,2,138,0,1,0,1,0,140,0.014285714285714285
63572101,4,153,1,2,0,1,0,157,0.025477707006369428
63572102,0,223,0,0,0,0,0,223,0.0
63572103,1,228,0,1,0,0,0,229,0.004366812227074236
63572104,3,196,1,2,0,0,0,199,0.01507537688442211
63572105,16,158,0,16,1,0,0,174,0.09195402298850575
63572106,1,204,0,1,0,0,0,205,0.004878048780487805
63572107,5,226,1,4,0,0,0,231,0.021645021645021644
63572108,4,244,2,3,0,0,0,248,0.016129032258064516
63572109,0,126,0,0,0,0,0,126,0.0
63572110,1,158,1,0,0,0,0,159,0.006289308176100629
63572111,0,89,0,0,0,0,0,89,0.0
63572201,2,241,0,0,1,1,0,243,0.00823045267489712
63572202,5,149,0,2,0,3,0,154,0.032467532467532464
63572203,2,180,1,1,0,0,0,182,0.01098901098901099
63572204,11,212,3,0,0,9,1,223,0.04932735426008968
63572205,9,254,1,4,0,4,0,263,0.034220532319391636
63572206,1,155,0,0,0,1,0,156,0.00641025641025641
63572207,2,265,0,1,0,1,0,267,0.00749063670411985
63572208,9,233,5,2,0,3,0,242,0.0371900826446281
63572209,5,269,2,4,0,0,0,274,0.01824817518248175
63572210,10,210,2,6,0,3,2,220,0.045454545454545456
63572211,1,164,1,0,0,0,0,165,0.006060606060606061
63572212,1,223,1,0,0,0,0,224,0.004464285714285714
63572213,8,186,2,5,0,2,0,194,0.041237113402061855
63572214,0,206,0,0,0,0,0,206,0.0
63572215,1,77,0,1,0,0,0,78,0.01282051282051282
63572216,2,153,2,0,0,0,0,155,0.012903225806451613
63572301,1,107,0,0,0,1,0,108,0.009259259259259259
63572302,1,51,1,0,0,0,0,52,0.019230769230769232
63572303,2,184,2,1,0,0,0,186,0.010752688172043012
63572304,0,154,0,0,0,0,0,154,0.0
63572305,8,224,5,0,0,5,0,232,0.034482758620689655
63572306,1,136,1,0,0,0,0,137,0.0072992700729927005
63572307,1,13,1,0,0,0,0,14,0.07142857142857142
63572308,4,162,2,0,0,2,1,166,0.024096385542168676
63572309,3,209,2,0,0,2,0,212,0.014150943396226415
63572310,2,71,0,2,0,0,0,73,0.0273972602739726
63572311,1,124,1,0,0,0,1,125,0.008
63572401,1,79,0,1,0,0,0,80,0.0125
63572402,7,88,6,1,0,0,0,95,0.07368421052631578
63572403,12,245,9,2,0,0,1,257,0.04669260700389105
63572404,7,152,3,3,0,2,0,159,0.0440251572327044
63572405,11,266,7,1,0,3,0,277,0.039711191335740074
63572501,45,707,14,20,0,5,7,752,0.0598404255319149
63572502,9,286,1,6,1,1,0,295,0.030508474576271188
63572503,6,187,4,2,1,1,0,193,0.031088082901554404
63572601,4,292,1,3,0,0,0,296,0.013513513513513514
