"radio_id","hogares_con_nbi","hogares_sin_nbi"
63579407,1,72
63579408,0,164
63579409,4,182
63579501,22,439
63579502,28,351
63579503,76,287
63579504,13,254
63579505,9,297
63579506,14,239
63579507,22,299
63579508,24,368
63579509,46,322
63579601,28,387
63579602,20,299
63579603,32,247
63579604,28,290
63579605,13,271
63579606,2,227
63579607,13,244
63579608,18,207
63579701,31,219
63579702,15,207
63579703,23,212
63579704,21,184
63579705,36,402
63579706,21,262
63579707,16,302
63579708,18,305
63579709,38,454
63579710,17,263
63579801,10,279
63579802,5,192
63579803,4,167
63579804,2,168
63579805,11,155
63579806,3,148
63579807,6,135
63579901,1,24
63579902,8,92
63579903,8,138
63579904,12,178
63579905,6,77
63579906,5,203
63579907,10,216
63579908,4,284
63579909,6,252
63579910,27,211
63579911,27,218
63579912,17,223
