"radio_id","hogares_nbi_hac","hogares_nbi_viv","hogares_nbi_san","hogares_nbi_esc","hogares_nbi_sub"
63574505,0,0,0,1,2
63574506,1,0,0,0,0
63574507,0,1,0,0,0
63574508,0,0,0,0,0
63574509,0,0,0,2,0
63574510,0,0,0,0,0
63574511,1,0,0,0,0
63574512,0,0,0,0,0
63574601,1,0,0,0,0
63574602,0,0,0,0,0
63574603,3,3,1,1,0
63574604,0,0,0,0,0
63574605,1,0,0,0,0
63574606,2,7,0,0,0
63574607,1,0,0,0,0
63574608,0,5,0,2,0
63574609,0,2,0,0,0
63574610,0,1,0,0,0
63574611,1,1,3,0,0
63574612,0,0,0,0,0
63574613,0,0,0,0,0
63574614,0,2,0,0,0
63574701,1,2,0,0,0
63574702,1,1,0,0,0
63574703,0,0,0,0,0
63574704,2,0,0,0,0
63574705,0,1,0,0,0
63574706,0,1,0,0,0
63574707,0,0,0,0,0
63574708,0,1,0,0,0
63574709,0,2,0,0,0
63574710,0,1,2,0,0
63574711,0,0,0,0,0
63574712,0,1,0,0,0
63574713,0,1,0,0,0
63574801,1,3,0,0,1
63574802,5,1,0,1,1
63574803,2,5,0,2,1
63574804,0,2,0,0,0
63574805,1,0,0,0,0
63574806,2,4,1,0,0
63574807,1,2,0,1,0
63574808,2,2,0,0,0
63574809,0,1,0,0,1
63574810,1,5,0,0,0
63574811,3,1,0,0,1
63574812,0,10,0,0,0
63574813,0,0,0,0,1
63574814,2,2,0,0,0
63574815,1,0,0,0,0
63574816,1,2,0,0,0
63574817,1,0,0,0,0
63574901,1,6,0,0,1
63574902,2,10,0,0,0
63574903,1,0,0,0,0
63574904,0,2,0,1,0
63574905,0,0,0,1,0
63574906,1,1,0,2,0
63574907,4,6,0,0,1
63574908,3,11,12,0,1
63575001,3,3,0,2,0
63575002,2,12,1,1,0
63575003,0,8,0,3,0
63575004,4,3,0,0,0
63575005,0,4,0,0,0
63575006,3,5,0,1,1
63575007,1,2,3,0,0
63575008,1,0,0,8,3
63575009,3,1,1,4,2
63575010,2,4,0,1,1
63575011,2,3,0,0,0
63575012,3,2,0,4,6
63575013,0,6,0,4,1
63575014,0,0,0,5,3
63575015,12,6,3,2,4
63575101,1,6,0,2,1
63575102,1,4,0,1,1
63575103,3,0,0,1,2
63575104,1,0,0,1,0
63575105,10,7,1,1,0
63575106,7,14,0,4,4
63575107,3,3,1,2,1
63575108,8,4,3,1,1
63575109,1,6,0,0,0
63575110,3,1,0,0,1
63575201,26,7,0,2,3
63575202,12,8,6,1,3
63575203,6,3,3,2,0
63575204,6,5,1,1,4
63575205,6,7,0,3,1
63575206,3,2,1,1,0
63575207,5,5,0,2,2
63575208,3,2,0,2,2
63575301,2,6,0,2,0
63575302,8,2,0,0,2
63575303,6,4,1,3,0
63575304,7,5,0,1,2
63575305,2,2,0,0,0
63575306,2,0,0,1,5
63575307,3,3,4,1,0
63575308,4,3,3,0,0
63575309,7,23,1,1,1
63575310,10,9,1,7,2
63575311,6,1,0,3,2
63575401,2,3,2,0,2
63575402,2,1,0,0,1
63575403,0,0,0,0,1
63575404,4,4,0,6,3
63575405,0,4,1,1,2
63575406,0,2,0,2,0
63575407,4,1,1,1,0
63575408,0,0,0,0,0
63575501,2,2,0,0,1
63575502,2,2,1,0,0
63575503,1,3,0,1,0
63575504,1,0,0,0,0
63575505,0,3,0,0,1
63575506,0,2,0,0,0
63575507,0,0,0,0,0
63575508,2,2,0,1,1
63575509,4,2,0,0,0
63575510,2,1,0,0,0
63575511,1,0,0,0,0
63575601,3,5,0,1,0
63575602,0,3,0,1,0
63575603,1,2,0,0,0
63575604,1,3,0,0,0
63575605,1,0,0,0,0
63575606,0,2,0,0,0
63575607,3,1,0,0,0
63575608,0,2,0,0,0
63575609,2,0,0,0,0
63575610,0,1,0,0,0
63575611,1,6,0,0,0
63575612,1,1,0,0,0
63575613,0,0,0,0,0
63575614,3,7,0,0,0
63575615,0,0,0,1,0
63575701,14,10,6,4,2
63575702,1,4,0,0,0
63575703,1,2,0,0,0
63575704,2,1,0,0,0
63575705,0,2,0,2,0
63575706,2,2,0,0,0
63575707,1,0,0,0,0
63575708,1,1,0,0,1
63575709,1,4,0,1,0
63575710,0,3,0,0,0
63575711,0,4,0,0,1
63575712,2,1,0,0,1
63575801,0,1,0,0,0
63575802,1,3,0,0,0
63575803,0,0,0,3,0
63575804,2,4,0,0,1
63575805,2,2,0,0,1
63575806,4,3,0,0,0
63575807,1,6,0,0,0
63575808,1,6,0,3,0
63575809,1,6,0,2,1
63575901,2,11,0,7,0
63575902,1,1,0,1,1
63575903,2,9,0,1,0
63575904,0,3,0,2,0
63575905,1,3,0,1,1
63575906,0,1,0,1,2
63575907,10,10,3,4,0
63575908,2,11,0,1,0
63575909,0,0,1,0,0
63575910,2,0,1,0,0
63575911,2,1,1,2,0
63575912,1,3,1,0,0
63576001,1,3,0,3,1
63576002,1,3,0,1,0
63576003,0,4,0,2,0
63576004,2,5,0,0,0
63576005,2,4,1,3,1
63576006,1,4,4,0,0
63576007,2,4,0,1,1
63576008,3,8,0,4,1
63576009,1,6,0,2,0
63576010,2,11,0,6,1
63576011,4,3,0,3,1
63576012,1,0,1,2,0
63576101,0,0,0,0,0
63576102,1,0,0,0,0
63576103,0,2,0,0,0
63576104,3,1,0,0,0
63576105,0,0,0,0,0
63576106,0,0,0,0,0
63576107,1,1,1,0,0
63576108,0,0,0,0,0
63576109,0,0,0,0,0
63576110,0,1,0,0,0
63576111,1,0,0,2,0
63576112,0,0,0,0,0
63576113,1,3,0,0,1
63576114,0,4,1,0,0
63576115,0,0,0,0,0
63576116,1,0,0,1,1
63576201,4,7,0,0,0
63576202,0,1,2,1,0
63576203,1,4,0,2,0
63576204,3,3,0,0,0
63576205,1,6,0,0,1
63576206,2,2,0,0,0
63576207,3,7,0,0,1
63576208,2,1,0,0,1
63576209,0,0,1,0,0
63576210,0,0,0,1,0
63576211,5,20,1,0,1
63576212,5,6,0,0,1
63576301,0,0,0,0,0
63576302,3,2,0,8,0
63576303,0,0,0,0,0
63576304,0,2,0,0,0
63576305,0,6,0,3,0
63576306,6,0,0,9,2
63576307,0,1,0,3,1
63576308,1,2,0,1,0
63576309,0,1,0,0,0
63576401,0,2,1,0,0
63576402,2,2,0,0,0
63576403,6,1,2,0,0
63576404,5,4,2,5,2
63576405,1,3,0,1,2
63576406,0,3,0,0,0
63576407,1,1,0,0,0
63576408,3,1,4,0,0
63576409,2,0,0,1,0
63576410,0,0,0,0,0
63576411,0,4,0,0,0
63576412,3,0,0,1,0
63576413,5,0,0,0,1
63576501,2,1,0,0,0
63576502,0,16,0,1,0
63576503,0,0,0,0,0
63576504,0,0,0,0,0
63576505,1,1,0,0,0
63576506,1,0,1,0,0
63576507,0,2,0,2,0
63576508,1,2,0,0,1
63576509,0,0,0,0,0
63576510,0,1,0,1,2
63576511,1,0,0,1,0
63576512,2,2,0,1,0
63576513,0,1,0,0,0
63576514,0,1,0,0,0
63576515,0,0,0,0,1
63576516,1,0,0,2,0
63576601,6,12,1,2,3
63576602,2,4,2,3,3
63576603,2,3,1,1,1
63576604,5,5,0,1,0
63576605,0,4,0,0,1
63576606,6,4,0,0,0
63576607,5,3,1,2,1
63576608,0,1,0,1,1
63576609,1,0,0,0,1
63576701,3,4,0,0,1
63576702,4,7,3,1,0
63576703,5,4,1,1,4
63576704,5,4,0,2,1
63576705,5,6,0,4,4
63576706,4,4,0,4,3
